Benchmark                                                                  (setSize)  Mode  Cnt         Score   Error  Units
impl.fastutil.FastUtilPutMapBenchmarks.putAVLTreeMap                           10000    ss    2   1723657,950          us/op
impl.fastutil.FastUtilPutMapBenchmarks.putArrayMap                               100    ss    2      5871,300          us/op
impl.fastutil.FastUtilPutMapBenchmarks.putArrayMap                              1000    ss    2    171509,950          us/op
impl.fastutil.FastUtilPutMapBenchmarks.putArrayMap                             10000    ss    2  17626290,300          us/op
impl.fastutil.FastUtilPutMapBenchmarks.putEmptyArrayMap                          100    ss    2      8467,400          us/op
impl.fastutil.FastUtilPutMapBenchmarks.putEmptyArrayMap                         1000    ss    2    197394,500          us/op
impl.fastutil.FastUtilPutMapBenchmarks.putEmptyArrayMap                        10000    ss    2  17218095,600          us/op
impl.fastutil.FastUtilPutMapBenchmarks.putEmptyLinkedMap                         100    ss    2     16072,400          us/op
impl.fastutil.FastUtilPutMapBenchmarks.putEmptyLinkedMap                        1000    ss    2     44315,900          us/op
impl.fastutil.FastUtilPutMapBenchmarks.putEmptyLinkedMap                       10000    ss    2    450036,750          us/op
impl.fastutil.FastUtilPutMapBenchmarks.putEmptyMap                               100    ss    2     11040,250          us/op
impl.fastutil.FastUtilPutMapBenchmarks.putEmptyMap                              1000    ss    2     30617,100          us/op
impl.fastutil.FastUtilPutMapBenchmarks.putEmptyMap                             10000    ss    2    363939,050          us/op
impl.fastutil.FastUtilPutMapBenchmarks.putLinkedMap                              100    ss    2      9187,250          us/op
impl.fastutil.FastUtilPutMapBenchmarks.putLinkedMap                             1000    ss    2     33394,750          us/op
impl.fastutil.FastUtilPutMapBenchmarks.putLinkedMap                            10000    ss    2    206135,050          us/op
impl.fastutil.FastUtilPutMapBenchmarks.putMap                                    100    ss    2      9179,500          us/op
impl.fastutil.FastUtilPutMapBenchmarks.putMap                                   1000    ss    2     24911,250          us/op
impl.fastutil.FastUtilPutMapBenchmarks.putMap                                  10000    ss    2    165067,850          us/op
impl.fastutil.FastUtilPutMapBenchmarks.putRBTreeMap                              100    ss    2     15917,750          us/op
